t[sec];q1[m3/sec];h1[m];h2[m];q2_measurement[m3/sec]
35,5;0,02;0,285289492;0,021073609;0,014063533
35,75;0,02;0,286585444;0,02129441;0,015789703
36;0,02;0,287861237;0,021513271;0,014312547
36,25;0,02;0,289117213;0,021730188;0,014358966
36,5;0,02;0,290353706;0,02194516;0,014752899
36,75;0,02;0,291571046;0,022158183;0,016108543
37;0,02;0,292769554;0,022369257;0,014258624
37,25;0,02;0,293949549;0,022578381;0,015636281
37,5;0,02;0,29511134;0,022785555;0,013026819
37,75;0,02;0,296255231;0,022990781;0,014880429
38;0,02;0,297381523;0,023194059;0,014800404
38,25;0,02;0,298490508;0,023395393;0,015333605
38,5;0,02;0,299582474;0,023594785;0,014504115
38,75;0,02;0,300657705;0,02379224;0,016445705
39;0,02;0,301716478;0,023987761;0,014979759
39,25;0,02;0,302759064;0,024181353;0,016464894
39,5;0,02;0,303785732;0,024373022;0,017316057
39,75;0,02;0,304796744;0,024562773;0,017356653
40;0,02;0,305792357;0,024750613;0,015906421
40,25;0,02;0,306772824;0,024936549;0,01606431
40,5;0,02;0,307738394;0,025120588;0,017157054
40,75;0,02;0,30868931;0,025302737;0,014451583
41;0,02;0,309625812;0,025483006;0,014217538
41,25;0,02;0,310548134;0,025661402;0,015366306
41,5;0,02;0,311456508;0,025837934;0,016027628
41,75;0,02;0,31235116;0,026012612;0,016087434
42;0,02;0,313232312;0,026185445;0,015505989
42,25;0,02;0,314100183;0,026356443;0,015321498
42,5;0,02;0,314954988;0,026525616;0,01497271
42,75;0,02;0,315796937;0,026692974;0,015502848
43;0,02;0,316626238;0,026858529;0,015427219
43,25;0,02;0,317443094;0,027022291;0,017268825
43,5;0,02;0,318247703;0,027184272;0,015254574
43,75;0,02;0,319040264;0,027344483;0,016238055
44;0,02;0,319820968;0,027502935;0,015994257
44,25;0,02;0,320590005;0,02765964;0,018006813
44,5;0,02;0,321347561;0,027814611;0,015677015
44,75;0,02;0,322093818;0,027967859;0,017585811
45;0,02;0,322828956;0,028119397;0,017429124
45,25;0,02;0,323553152;0,028269238;0,017310411
45,5;0,02;0,324266579;0,028417394;0,016795565
45,75;0,02;0,324969406;0,028563877;0,016821965
46;0,02;0,325661803;0,028708701;0,01729696
46,25;0,02;0,326343932;0,028851878;0,016697001
46,5;0,02;0,327015956;0,028993422;0,014735431
46,75;0,02;0,327678034;0,029133346;0,01756363
47;0,02;0,328330321;0,029271662;0,016828355
47,25;0,02;0,328972971;0,029408385;0,016598007
47,5;0,02;0,329606135;0,029543528;0,017839117
47,75;0,02;0,330229961;0,029677103;0,017953497
48;0,02;0,330844595;0,029809125;0,017261313
48,25;0,02;0,33145018;0,029939607;0,017151301
48,5;0,02;0,332046857;0,030068563;0,017126287
48,75;0,02;0,332634764;0,030196005;0,01914437
49;0,02;0,333214037;0,030321948;0,017558245
49,25;0,02;0,33378481;0,030446406;0,01773554
49,5;0,02;0,334347215;0,030569391;0,016602942
49,75;0,02;0,334901381;0,030690918;0,018638219
50;0,02;0,335447435;0,030810999;0,017674665
50,25;0,02;0,335985501;0,03092965;0,017706132
50,5;0,02;0,336515704;0,031046882;0,016814335
50,75;0,02;0,337038164;0,031162711;0,017586031
51;0,02;0,337552999;0,031277149;0,016796913
51,25;0,02;0,338060327;0,031390209;0,017957566
51,5;0,02;0,338560262;0,031501906;0,017841256
51,75;0,02;0,339052918;0,031612253;0,018346403
52;0,02;0,339538406;0,031721263;0,016755736
52,25;0,02;0,340016834;0,031828949;0,018571935
52,5;0,02;0,340488311;0,031935326;0,019921388
52,75;0,02;0,340952943;0,032040405;0,01786397
53;0,02;0,341410833;0,032144201;0,019491033
53,25;0,02;0,341862083;0,032246727;0,017263801
53,5;0,02;0,342306795;0,032347995;0,019527026
53,75;0,02;0,342745068;0,032448019;0,017808079
54;0,02;0,343176998;0,032546812;0,020067492
54,25;0,02;0,343602682;0,032644387;0,017845065
54,5;0,02;0,344022214;0,032740756;0,017643078
54,75;0,02;0,344435687;0,032835933;0,018163725
55;0,02;0,344843192;0,032929929;0,016873407
55,25;0,02;0,345244818;0,033022759;0,017554839
55,5;0,02;0,345640654;0,033114433;0,01933606
55,75;0,02;0,346030788;0,033204966;0,017692575
56;0,02;0,346415303;0,033294369;0,017551044
56,25;0,02;0,346794286;0,033382654;0,018795082
56,5;0,02;0,347167818;0,033469834;0,018585319
56,75;0,02;0,347535981;0,033555921;0,019014263
57;0,02;0,347898855;0,033640928;0,01847971
57,25;0,02;0,348256518;0,033724865;0,017876081
57,5;0,02;0,34860905;0,033807746;0,018893473
57,75;0,02;0,348956525;0,033889581;0,018033532
58;0,02;0,34929902;0,033970384;0,018470685
58,25;0,02;0,349636608;0,034050164;0,019243967
58,5;0,02;0,349969363;0,034128934;0,019453753
58,75;0,02;0,350297354;0,034206706;0,018828137
59;0,02;0,350620655;0,034283491;0,019136375
59,25;0,02;0,350939333;0,034359299;0,018052617
59,5;0,02;0,351253457;0,034434143;0,018109916
59,75;0,02;0,351563095;0,034508033;0,017154347
60;0,02;0,351868313;0,034580981;0,01927916
60,25;0,02;0,352169175;0,034652997;0,018294856
60,5;0,02;0,352465747;0,034724092;0,018275644
60,75;0,02;0,352758091;0,034794277;0,018346872
61;0,02;0,353046269;0,034863562;0,017669844
61,25;0,02;0,353330344;0,034931959;0,019127521
61,5;0,02;0,353610374;0,034999477;0,017421123
61,75;0,02;0,35388642;0,035066127;0,0192229
62;0,02;0,354158539;0,035131919;0,018136528
62,25;0,02;0,35442679;0,035196864;0,019206463
62,5;0,01;0,354691229;0,035260971;0,017449295
62,75;0,01;0,351826912;0,03532425;0,019508821
63;0,01;0,349017487;0,035357415;0,020243268
63,25;0,01;0,34626136;0,035361299;0,01839935
63,5;0,01;0,343556984;0,03533793;0,017729054
63,75;0,01;0,340902877;0,035289265;0,018156137
64;0,01;0,338297622;0,035217145;0,017019275
64,25;0,01;0,335739863;0,0351233;0,017925736
64,5;0,01;0,333228302;0,035009356;0,018053827
64,75;0,01;0,330761697;0,034876845;0,017688542
65;0,01;0,328338856;0,034727205;0,018182538
65,25;0,01;0,325958638;0,034561791;0,017950172
