t[sec];q1[m3/sec];h1[m];h2[m];q2_measurement[m3/sec]
0;0;0;0;0,000214329
0,25;0;0;0;-0,000723044
0,5;0;0;0;-0,00067566
0,75;0;0;0;-0,00151703
1;0;0;0;-0,000191385
1,25;0;0;0;-0,001075519
1,5;0;0;0;-0,001465375
1,75;0;0;0;0,001242301
2;0;0;0;0,001574406
2,25;0;0;0;0,001210933
2,5;0;0;0;0,001836452
2,75;0;0;0;0,00112099
3;0;0;0;0,001561113
3,25;0;0;0;0,000189961
3,5;0;0;0;5,60383E-05
3,75;0;0;0;-0,0004358
4;0;0;0;-0,000512592
4,25;0;0;0;0,001752297
4,5;0;0;0;0,00049954
4,75;0;0;0;-0,000535176
5;0;0;0;-0,000363729
5,25;0;0;0;-6,02175E-06
5,5;0;0;0;-0,000333969
5,75;0;0;0;-0,000291878
6;0;0;0;-0,001098586
6,25;0;0;0;-0,001857882
6,5;0;0;0;0,000316442
6,75;0;0;0;0,000235471
7;0;0;0;0,001166632
7,25;0;0;0;-0,000430098
7,5;0;0;0;-0,000425446
7,75;0;0;0;0,000518249
8;0;0;0;0,002171736
8,25;0;0;0;-0,000911549
8,5;0;0;0;0,001635567
8,75;0;0;0;0,001162556
9;0;0;0;0,000216821
9,25;0;0;0;-0,000922293
9,5;0;0;0;4,01668E-05
9,75;0;0;0;0,000360358
10;0;0;0;0,000887736
10,25;0;0;0;-0,000515742
10,5;0;0;0;-0,001277872
10,75;0;0;0;-0,00057649
11;0;0;0;0,001270423
11,25;0;0;0;0,000424603
11,5;0;0;0;0,001202851
11,75;0;0;0;0,002086097
12;0;0;0;0,00082815
12,25;0;0;0;-0,002656432
12,5;0,02;0;0;-0,001424465
12,75;0,02;0,00625;0;0,000707063
13;0,02;0,011328125;0,000585938;-0,00124833
13,25;0,02;0,015563965;0,001593018;0,002056715
13,5;0,02;0,019194412;0,002600217;0,003026655
13,75;0,02;0,022333001;0,003657015;0,004233087
14;0,02;0,025081253;0,004770485;0,005458317
14,25;0,02;0,027522984;0,005918703;0,005408644
14,5;0,02;0,029722182;0,007080746;0,004626881
14,75;0,02;0,031726912;0,008241717;0,00757763
15;0,02;0,033573438;0,009391614;0,009281263
15,25;0,02;0,035289346;0,010523862;0,006818953
15,5;0,02;0,036895818;0,011634246;0,007908592
15,75;0,02;0,038409273;0,012720195;0,008679545
16;0,02;0,039842571;0,013780269;0,008176324
16,25;0,02;0,04120589;0,014813812;0,007595989
16,5;0,02;0,042507375;0,015820702;0,008658377
16,75;0,02;0,043753624;0,016801177;0,010458481
17;0,02;0,04495004;0,017755715;0,01038359
17,25;0,02;0,046101104;0,018684941;0,010109697
17,5;0,02;0,047210573;0,019589574;0,0105197
17,75;0,02;0,048281636;0,020470382;0,011330954
18;0,02;0,049317026;0,021328152;0,01219407
18,25;0,02;0,050319112;0,022163675;0,010597395
18,5;0,02;0,051289968;0,022977727;0,011893511
18,75;0,02;0,052231423;0,023771066;0,010739042
19;0,02;0,053145106;0,024544424;0,01393048
19,25;0,02;0,054032478;0,025298504;0,013295373
19,5;0,02;0,054894858;0,026033982;0,013597062
19,75;0,02;0,055733443;0,026751501;0,013327664
20;0,02;0,056549329;0,027451677;0,014378642
20,25;0,02;0,057343519;0,028135096;0,013254632
20,5;0,02;0,05811694;0,028802317;0,014056681
20,75;0,02;0,058870448;0,029453873;0,013499876
21;0,02;0,05960484;0,030090271;0,013427365
21,25;0,02;0,060320859;0,030711996;0,015855187
21,5;0,02;0,061019197;0,031319508;0,014657836
21,75;0,02;0,061700505;0,031913249;0,014674586
22;0,02;0,062365395;0,03249364;0,014864454
22,25;0,02;0,063014441;0,033061082;0,015588358
22,5;0,02;0,063648186;0,03361596;0,015160047
22,75;0,02;0,064267144;0,034158643;0,013966361
23;0,02;0,0648718;0,034689483;0,014346293
23,25;0,02;0,065462615;0,035208818;0,015199089
23,5;0,02;0,066040028;0,035716972;0,016911994
23,75;0,02;0,066604455;0,036214257;0,01471989
24;0,02;0,067156293;0,036700972;0,016550773
24,25;0,02;0,06769592;0,037177402;0,016294605
24,5;0,02;0,068223698;0,037643826;0,016428929
24,75;0,02;0,068739972;0,038100509;0,015780027
25;0,02;0,069245073;0,038547707;0,01483742
25,25;0,02;0,069739317;0,038985666;0,016137534
25,5;0,02;0,070223007;0,039414624;0,016132525
25,75;0,02;0,070696435;0,039834812;0,015167643
26;0,02;0,071159881;0,040246449;0,016447768
26,25;0,02;0,071613612;0,040649751;0,016278345
26,5;0,02;0,072057888;0,041044923;0,016217009
26,75;0,02;0,072492957;0,041432166;0,018000861
27;0,02;0,072919059;0,041811672;0,014562646
27,25;0,02;0,073336424;0,042183628;0,016198802
27,5;0,02;0,073745275;0,042548215;0,016095894
27,75;0,02;0,074145826;0,042905607;0,019388667
28;0,02;0,074538285;0,043255975;0,018019521
28,25;0,02;0,074922852;0,043599483;0,017094139
28,5;0,02;0,07529972;0,04393629;0,01794944
28,75;0,02;0,075669077;0,044266551;0,016601107
29;0,02;0,076031103;0,044590414;0,017420936
29,25;0,02;0,076385974;0,044908027;0,017629592
29,5;0,02;0,076733859;0,045219529;0,015716513
29,75;0,02;0,077074922;0,045525058;0,016534961
30;0,02;0,077409323;0,045824747;0,019984727
30,25;0,02;0,077737215;0,046118726;0,017584715
30,5;0,02;0,078058748;0,04640712;0,018487773
30,75;0,02;0,078374068;0,046690051;0,014673639
31;0,02;0,078683315;0,046967639;0,017466235
31,25;0,02;0,078986626;0,047239998;0,017553267
31,5;0,02;0,079284133;0,047507242;0,017639192
31,75;0,02;0,079575966;0,04776948;0,018102135
32;0,02;0,07986225;0,048026819;0,017325441
32,25;0,02;0,080143107;0,048279362;0,016201291
32,5;0,02;0,080418654;0,04852721;0,015970034
32,75;0,02;0,080689009;0,048770462;0,01810451
33;0,02;0,080954281;0,049009214;0,017509775
33,25;0,02;0,081214581;0,04924356;0,016544501
33,5;0,02;0,081470015;0,04947359;0,017742439
33,75;0,02;0,081720685;0,049699394;0,018060426
34;0,02;0,081966693;0,049921057;0,015736957
34,25;0,02;0,082208136;0,050138666;0,017737674
34,5;0,02;0,082445111;0,050352301;0,019460252
34,75;0,02;0,082677709;0,050562044;0,017473529
35;0,02;0,082906022;0,050767972;0,017332621
35,25;0,02;0,083130137;0,050970164;0,019034406
35,5;0,02;0,083350142;0,051168693;0,018197644
35,75;0,02;0,083566121;0,051363632;0,018664068
36;0,02;0,083778154;0,051555053;0,017141775
36,25;0,02;0,083986323;0,051743026;0,016954351
36,5;0,02;0,084190704;0,051927617;0,018949748
36,75;0,02;0,084391376;0,052108895;0,020680389
37;0,02;0,08458841;0,052286924;0,019499008
37,25;0,02;0,084781882;0,052461766;0,019885667
37,5;0,02;0,08497186;0,052633485;0,019747672
37,75;0,02;0,085158415;0,052802141;0,01839374
38;0,02;0,085341614;0,052967793;0,019345312
38,25;0,02;0,085521522;0,053130499;0,018982922
38,5;0,02;0,085698206;0,053290316;0,018264614
38,75;0,02;0,085871726;0,053447299;0,016103244
39;0,02;0,086042146;0,053601502;0,018322966
39,25;0,02;0,086209525;0,053752979;0,018462657
39,5;0,02;0,086373923;0,05390178;0,01915956
39,75;0,02;0,086535396;0,054047957;0,018897154
40;0,02;0,086694001;0,05419156;0,017136567
40,25;0,02;0,086849794;0,054332637;0,018890653
